disease_id	disease_name	treats	palliates	total_edges
Q1135124	Agenesis of the corpus callosum	0	0	2
Q403463	Aicardi syndrome	0	0	1
Q403453	Aicardi-Goutieres syndrome	0	0	1
Q1544408	Alagille syndrome	0	0	1
Q18553368	Aland Island eye disease	0	0	1
Q4712685	Albright's hereditary osteodystrophy	0	0	1
Q4713263	Alcohol dependence	0	0	15
Q567820	Alexander disease	0	0	1
Q4721578	Alezzandrini syndrome	0	0	1
Q143790	Alien hand syndrome	0	0	1
Q18553245	Alkhurma hemorrhagic fever	0	0	1
Q4731121	Allan-Herndon-Dudley syndrome	0	0	1
Q2028015	Alpers' disease	0	0	1
Q2613277	Alpha-thalassemia mental retardation syndrome	0	0	2
Q1331116	Alport syndrome	0	0	5
Q18553270	Alstrom syndrome	0	0	1
Q4736375	Alternariosis	0	0	1
Q11081	Alzheimer's disease	0	0	104
Q27677606	Alzheimer's disease 10	0	0	1
Q27677607	Alzheimer's disease 11	0	0	1
Q27677608	Alzheimer's disease 12	0	0	1
Q27677609	Alzheimer's disease 13	0	0	1
Q27677610	Alzheimer's disease 14	0	0	1
Q27677611	Alzheimer's disease 15	0	0	1
Q27677599	Alzheimer's disease 16	0	0	1
Q27677612	Alzheimer's disease 17	0	0	1
Q27677613	Alzheimer's disease 18	0	0	1
Q27677614	Alzheimer's disease 19	0	0	1
Q27677598	Alzheimer's disease 2	0	0	1
Q27677605	Alzheimer's disease 3	0	0	1
Q27677602	Alzheimer's disease 4	0	0	1
Q27164428	Alzheimer's disease 5	0	0	1
Q27677600	Alzheimer's disease 6	0	0	1
Q27677601	Alzheimer's disease 7	0	0	1
Q27677603	Alzheimer's disease 8	0	0	1
Q4740761	Amazia	0	0	1
Q18554896	American histoplasmosis	0	0	1
Q471778	Amino acid transport disorder	0	0	1
Q1229345	Amyotrophic lateral sclerosis 21	0	0	1
Q486485	Anasarca	27	0	27
Q773118	Andersen-Tawil syndrome	0	0	1
Q535364	Angelman syndrome	0	0	1
Q18554033	Angelucci's syndrome	0	0	1
Q367756	Angiomatosis	0	0	2
Q27698000	Anisomastia	0	0	1
Q2852337	Anosodiaphoria	0	0	1
Q4771415	Anterior urethral cancer	0	0	1
Q585011	Antley-Bixler syndrome	0	0	1
Q1431933	Aortoiliac occlusive disease	0	0	1
Q618246	Apert syndrome	0	0	1
Q2583514	Argentine hemorrhagic fever	0	0	1
Q652568	Argyll Robertson pupil	0	0	1
Q18553460	Armfield syndrome	0	0	2
Q4797535	Arterial insufficiency ulcer	0	0	1
Q18553376	Arts syndrome	0	0	2
Q18553335	Askin's tumor	0	0	1
Q161790	Asperger syndrome	0	0	3
Q356713	Aspergilloma	3	0	4
Q4807981	Asphyxiating thoracic dysplasia	0	0	1
Q2039267	Aspirin-induced asthma	0	0	1
Q18553170	Astrakhan spotted fever	0	0	1
Q15630404	Asymptomatic inflammatory prostatitis	0	0	1
Q2870197	Atelosteogenesis, type II	0	0	1
Q18553396	Athabaskan brainstem dysgenesis syndrome	0	0	1
Q3099702	Athletic pubalgia	0	0	1
Q23037763	Atlantic cod allergy	0	0	1
Q23037764	Atlantic salmon allergy	0	0	1
Q4817548	Atrichia with papular lesions	0	0	1
Q4818889	Atypical ductal hyperplasia	0	0	1
Q17165460	Atypical hemolytic uremic syndrome	0	0	1
Q14942021	Auto-brewery syndrome	1	0	1
Q17145912	Autoimmune neutropenia	0	0	1
Q3589157	Autosomal dominant nocturnal frontal lobe epilepsy	0	0	7
Q3042144	Autosomal recessive multiple epiphyseal dysplasia	0	0	1
Q4828020	Avellis syndrome	0	0	1
Q474994	Axenfeld-Rieger syndrome	0	0	4
Q27677638	Axenfeld-Rieger syndrome type 1	0	0	1
Q27677639	Axenfeld-Rieger syndrome type 2	0	0	1
Q27164456	Axenfeld-Rieger syndrome type 3	0	0	1
Q4831022	Ayazi syndrome	0	0	1
Q794072	Azotemia	0	0	1
Q18554999	B cell deficiency	0	0	8
Q18553604	B cell linker protein deficiency	0	0	1
Q18558266	B- and T-cell mixed leukemia	0	0	1
Q26492800	B-cell adult acute lymphocytic leukemia	0	0	1
Q26492840	B-cell childhood acute lymphoblastic leukemia	0	0	1
Q4833719	B-cell lymphoma	1	0	10
Q1947272	Baastrup's syndrome	0	0	1
Q18553286	Balkan hemorrhagic fever	0	0	1
Q805030	Balkan nephropathy	0	0	1
Q3508616	Baller-Gerold syndrome	0	0	1
Q1783645	Balo concentric sclerosis	0	0	1
Q4853488	Bamforth-Lazarus syndrome	0	0	1
Q474254	Bannayan-Riley-Ruvalcaba syndrome	0	0	1
Q18966102	Baraitser-Winter syndrome	0	0	1
Q18616565	Barber-Say syndrome	0	0	1
Q1678281	Bardet-Biedl syndrome	0	0	20
Q27674827	Bardet-Biedl syndrome 1	0	0	1
Q27674836	Bardet-Biedl syndrome 10	0	0	1
Q27674837	Bardet-Biedl syndrome 11	0	0	1
Q27674838	Bardet-Biedl syndrome 12	0	0	1
Q27674839	Bardet-Biedl syndrome 13	0	0	1
Q27674840	Bardet-Biedl syndrome 14	0	0	1
Q27674841	Bardet-Biedl syndrome 15	0	0	1
Q27674842	Bardet-Biedl syndrome 16	0	0	1
Q27674843	Bardet-Biedl syndrome 17	0	0	1
Q27674845	Bardet-Biedl syndrome 18	0	0	1
Q27674846	Bardet-Biedl syndrome 19	0	0	1
Q27674828	Bardet-Biedl syndrome 2	0	0	1
Q27674829	Bardet-Biedl syndrome 3	0	0	1
Q27674830	Bardet-Biedl syndrome 4	0	0	1
Q27674831	Bardet-Biedl syndrome 5	0	0	1
Q27674832	Bardet-Biedl syndrome 6	0	0	1
Q27674833	Bardet-Biedl syndrome 7	0	0	1
Q27674834	Bardet-Biedl syndrome 8	0	0	1
Q27674835	Bardet-Biedl syndrome 9	0	0	1
Q18553285	Barmah Forest virus disease	0	0	1
Q809122	Barre-Lieou syndrome	0	0	1
Q18557775	Barrett's adenocarcinoma	0	0	1
Q808892	Barrett's esophagus	0	0	3
Q4865826	Bart-Pumphrey syndrome	0	0	1
Q928424	Barth syndrome	0	0	1
Q574406	Bartholin's duct cyst	0	0	1
Q18557217	Bartholin's gland adenocarcinoma	0	0	2
Q18556523	Bartholin's gland adenoid cystic carcinoma	0	0	1
Q18556763	Bartholin's gland adenoma	0	0	2
Q18557276	Bartholin's gland adenomyoma	0	0	3
Q18556912	Bartholin's gland adenosquamous carcinoma	0	0	3
Q18554978	Bartholin's gland benign neoplasm	0	0	4
Q18556143	Bartholin's gland carcinoma	0	0	7
Q18557490	Bartholin's gland small cell carcinoma	0	0	2
Q18557422	Bartholin's gland squamous cell carcinoma	0	0	3
Q18556142	Bartholin's gland transitional cell carcinoma	0	0	2
Q790971	Bartter disease	2	0	9
Q27674847	Bartter disease type 1	0	0	1
Q27674848	Bartter disease type 2	0	0	1
Q27674849	Bartter disease type 3	0	0	1
Q27674850	Bartter disease type 4a	0	0	1
Q27674852	Bartter disease type 4b	0	0	1
Q27164459	Bartter disease type 5	0	0	1
Q1753778	Batten disease	0	0	1
Q4876717	Beare-Stevenson cutis gyrata syndrome	0	0	2
Q2484592	Becker muscular dystrophy	0	0	1
Q521863	Beckwith-Wiedemann syndrome	0	0	1
Q18018676	Beemer-Langer syndrome	0	0	2
Q911427	Behcet's disease	1	0	7
Q18554872	Behcet's syndrome arthropathy	0	0	2
Q1135338	Bell's palsy	0	0	1
Q3136516	Benign cephalic histiocytosis	0	0	1
Q4891136	Berdon syndrome	0	0	1
Q822228	Bernard-Soulier syndrome	0	0	3
Q831363	Bethlem myopathy	0	0	1
Q4904691	Bietti crystalline corneoretinal dystrophy	0	0	1
Q28058359	Bilharzial cor pulmonale	0	0	2
Q4913982	Binder syndrome	0	0	1
Q18553391	Birk-Barel syndrome	0	0	1
Q2532540	Birt-Hogg-Dube syndrome	0	0	1
Q4919794	Bjornstad syndrome	0	0	1
Q4925474	Blastocystosis	0	0	1
Q441077	Blau syndrome	0	0	1
Q18554253	Blessig's cysts	0	0	1
Q884590	Bloch-Sulzberger syndrome	0	0	1
Q4927306	Blocq's disease	0	0	1
Q624398	Blount's disease	0	0	1
Q2700304	Bolivian hemorrhagic fever	0	0	1
Q892776	Bonnet–Dechaume–Blanc syndrome	0	0	1
Q4943512	Boomerang dysplasia	0	0	1
Q18554162	Bordetella parapertussis whooping cough	0	0	1
Q1019940	Borjeson-Forssman-Lehmann syndrome	0	0	2
Q18557451	Borst-Jadassohn intraepidermal carcinoma	0	0	1
Q18553397	Bothnia retinal dystrophy	0	0	1
Q18553398	Bowen-Conradi syndrome	0	0	1
Q895414	Bowenoid papulosis	0	0	1
Q18554105	Bowman's membrane folds or rupture	0	0	1
Q2517861	Brachial plexus injury	0	0	1
Q4958833	Brazilian hemorrhagic fever	0	0	1
Q253332	Brill-Zinsser disease	0	0	1
Q4973199	Brody myopathy	0	0	2
Q18553408	Brooke-Spiegler syndrome	0	0	1
Q28065633	Brooks-Wisniewski-Brown syndrome	0	0	1
Q991023	Brown's tendon sheath syndrome	0	0	1
Q4976847	Brown-Vialetto-Van Laere syndrome	0	0	1
Q18554768	Brucella abortus brucellosis	0	0	1
Q18554659	Brucella canis brucellosis	0	0	1
Q18554767	Brucella melitensis brucellosis	0	0	1
Q18554000	Brucella suis brucellosis	0	0	1
Q3508623	Bruck syndrome	0	0	1
Q599683	Brugada syndrome	0	0	10
Q27677682	Brugada syndrome 1	0	0	1
Q27677683	Brugada syndrome 2	0	0	1
Q27677684	Brugada syndrome 3	0	0	1
Q27677685	Brugada syndrome 4	0	0	1
Q27677687	Brugada syndrome 5	0	0	1
Q27677688	Brugada syndrome 6	0	0	1
Q27677689	Brugada syndrome 7	0	0	1
Q27677690	Brugada syndrome 8	0	0	1
Q27164496	Brugada syndrome 9	0	0	1
Q4979092	Brunner Syndrome	0	0	1
Q4979461	Bruns ataxia	0	0	1
Q283108	Bruton-type agammaglobulinemia	0	0	1
Q4982380	Buccal bifurcation cyst	0	0	1
Q1016605	Burkitt lymphoma	1	0	2
Q1017169	Buruli ulcer disease	0	0	1
Q18555333	C-P angle neurinoma	0	0	2
Q18553584	C1 inhibitor deficiency	0	0	2
Q18965540	CD3delta deficiency	0	0	1
Q18553595	CD3epsilon deficiency	0	0	1
Q18553596	CD3gamma deficiency	0	0	1
Q18553588	CD3zeta deficiency	0	0	1
Q5957519	CD40 deficiency	0	0	1
Q27677558	CD40 ligand deficiency	0	0	2
Q18553593	CD45 deficiency	0	0	1
Q5064098	CEDNIK syndrome	0	0	1
Q1023604	CHARGE syndrome	0	0	1
Q18557229	CLL/SLL	0	0	3
Q763356	CREST syndrome	0	0	1
Q3801522	Caffey disease	0	0	1
Q15646785	Calcaneal spur	0	0	1
Q5018774	Calcifying odontogenic cyst	0	0	1
Q498487	Camurati-Engelmann disease	0	0	1
Q2349546	Canavan disease	0	0	1
Q838018	Capgras syndrome	0	0	2
Q1034736	Caplan's syndrome	0	0	1
Q1044007	Carney complex	0	0	2
Q1044327	Caroli disease	0	0	1
Q2272470	Carpenter syndrome	0	0	1
Q1750104	Carrion's disease	0	0	1
Q1432717	Catatonic schizophrenia	0	0	1
Q1051436	Cauda equina syndrome	0	0	2
Q28024512	Cayman type cerebellar ataxia	0	0	1
Q5062123	Central neurocytoma	0	0	1
Q782958	Centronuclear myopathy	0	0	3
Q191570	Cerebral arteriovenous malformation	0	0	1
Q19596346	Cervical spinal stenosis	0	0	1
Q649558	Chagas disease	0	0	1
Q18554106	Chandler syndrome	0	0	2
Q2936142	Channelopathy	0	0	1
Q18324719	Chapare hemorrhagic fever	0	0	1
Q2411095	Char syndrome	0	0	1
Q27677673	Charcot-Marie-Tooth disease X-linked dominant 1	0	0	1
Q27677671	Charcot-Marie-Tooth disease X-linked dominant 6	0	0	1
Q27677672	Charcot-Marie-Tooth disease X-linked recessive 2	0	0	1
Q27677675	Charcot-Marie-Tooth disease X-linked recessive 3	0	0	1
Q27677676	Charcot-Marie-Tooth disease X-linked recessive 4	0	0	1
Q27677674	Charcot-Marie-Tooth disease X-linked recessive 5	0	0	1
Q27164484	Charcot-Marie-Tooth disease axonal type 20	0	0	1
Q27164492	Charcot-Marie-Tooth disease axonal type 2C	0	0	1
Q27164490	Charcot-Marie-Tooth disease axonal type 2CC	0	0	1
Q27164470	Charcot-Marie-Tooth disease axonal type 2F	0	0	1
Q27164481	Charcot-Marie-Tooth disease axonal type 2G	0	0	1
Q27164474	Charcot-Marie-Tooth disease axonal type 2H	0	0	1
Q27164475	Charcot-Marie-Tooth disease axonal type 2K	0	0	1
Q27164483	Charcot-Marie-Tooth disease axonal type 2L	0	0	1
Q27164486	Charcot-Marie-Tooth disease axonal type 2N	0	0	1
Q27164478	Charcot-Marie-Tooth disease axonal type 2P	0	0	1
Q27164479	Charcot-Marie-Tooth disease axonal type 2Q	0	0	1
Q27164480	Charcot-Marie-Tooth disease axonal type 2S	0	0	1
Q27164466	Charcot-Marie-Tooth disease axonal type 2T	0	0	1
Q27164482	Charcot-Marie-Tooth disease axonal type 2U	0	0	1
Q27164487	Charcot-Marie-Tooth disease axonal type 2V	0	0	1
Q27164485	Charcot-Marie-Tooth disease axonal type 2X	0	0	1
Q27164491	Charcot-Marie-Tooth disease axonal type 2Z	0	0	1
Q27677665	Charcot-Marie-Tooth disease dominant intermediate A	0	0	1
Q27677659	Charcot-Marie-Tooth disease dominant intermediate B	0	0	1
Q27677662	Charcot-Marie-Tooth disease dominant intermediate C	0	0	1
Q27677663	Charcot-Marie-Tooth disease dominant intermediate D	0	0	1
Q27677669	Charcot-Marie-Tooth disease dominant intermediate E	0	0	1
Q27677670	Charcot-Marie-Tooth disease dominant intermediate F	0	0	1
Q18553298	Charcot-Marie-Tooth disease intermediate type	0	0	11
Q27677664	Charcot-Marie-Tooth disease recessive intermediate A	0	0	1
Q27677667	Charcot-Marie-Tooth disease recessive intermediate B	0	0	1
Q27677660	Charcot-Marie-Tooth disease recessive intermediate C	0	0	1
Q27677666	Charcot-Marie-Tooth disease recessive intermediate D	0	0	1
Q3281253	Charcot-Marie-Tooth disease type 1	0	0	7
Q27677640	Charcot-Marie-Tooth disease type 1A	0	0	1
Q27677645	Charcot-Marie-Tooth disease type 1B	0	0	1
Q27677644	Charcot-Marie-Tooth disease type 1C	0	0	1
Q27677643	Charcot-Marie-Tooth disease type 1D	0	0	1
Q27677646	Charcot-Marie-Tooth disease type 1E	0	0	1
Q27677642	Charcot-Marie-Tooth disease type 1F	0	0	1
Q3281254	Charcot-Marie-Tooth disease type 2	0	0	30
Q27164460	Charcot-Marie-Tooth disease type 2A1	0	0	1
Q27164461	Charcot-Marie-Tooth disease type 2A2	0	0	1
Q27164465	Charcot-Marie-Tooth disease type 2B	0	0	1
Q27164462	Charcot-Marie-Tooth disease type 2B1	0	0	1
Q27164488	Charcot-Marie-Tooth disease type 2B2	0	0	1
Q27164471	Charcot-Marie-Tooth disease type 2D	0	0	1
Q27164473	Charcot-Marie-Tooth disease type 2E	0	0	1
Q27164464	Charcot-Marie-Tooth disease type 2I	0	0	1
Q27164463	Charcot-Marie-Tooth disease type 2J	0	0	1
Q27164468	Charcot-Marie-Tooth disease type 2R	0	0	1
Q27164476	Charcot-Marie-Tooth disease type 2Y	0	0	1
Q18553295	Charcot-Marie-Tooth disease type 3	0	0	1
Q3281259	Charcot-Marie-Tooth disease type 4	0	0	13
Q27677649	Charcot-Marie-Tooth disease type 4A	0	0	1
Q27677653	Charcot-Marie-Tooth disease type 4B1	0	0	1
Q27677652	Charcot-Marie-Tooth disease type 4B2	0	0	1
Q27677656	Charcot-Marie-Tooth disease type 4B3	0	0	1
Q27677647	Charcot-Marie-Tooth disease type 4C	0	0	1
Q27677650	Charcot-Marie-Tooth disease type 4D	0	0	1
Q27677657	Charcot-Marie-Tooth disease type 4E	0	0	1
Q27677655	Charcot-Marie-Tooth disease type 4F	0	0	1
Q27677658	Charcot-Marie-Tooth disease type 4G	0	0	1
Q27677654	Charcot-Marie-Tooth disease type 4H	0	0	1
Q27677648	Charcot-Marie-Tooth disease type 4J	0	0	1
Q27164494	Charcot-Marie-Tooth disease type 4K	0	0	1
Q21124579	Charcot-Marie-Tooth disease type 5	0	0	1
Q21124580	Charcot-Marie-Tooth disease type 6	0	0	1
Q21124581	Charcot-Marie-Tooth disease type 7	0	0	1
Q3281260	Charcot-Marie-Tooth disease type X	0	0	7
Q27164469	Charcot-Marie-Tooth disease, axonal type 2W	0	0	1
Q1052687	Charcot–Marie–Tooth disease	0	0	14
Q2868786	Charlevoix-Saguenay spastic ataxia	0	0	2
Q934034	Chediak-Higashi syndrome	0	0	1
Q5090456	Chemical eye injury	0	0	1
Q5097618	Chilblain lupus	0	0	2
Q18387306	Childhood cataract	0	0	1
Q5104958	Chorangiosis	0	0	1
Q28065629	Christianson syndrome	0	0	1
Q2787011	Chronic recurrent multifocal osteomyelitis	0	0	1
Q17083598	Chronic sclerosing sialadenitis	0	0	1
Q32811	Churg-Strauss syndrome	0	0	1
Q21694578	Chuvash polycythemia	0	0	1
Q15730829	Clear cell renal cell carcinoma	0	0	1
Q574905	Clostridium difficile colitis	6	0	7
Q5135822	Clouston syndrome	0	0	2
Q915322	Coats disease	0	0	1
Q914389	Cockayne syndrome	0	0	2
Q1106881	Coffin-Lowry syndrome	0	0	2
Q2348105	Coffin-Siris syndrome	0	0	2
Q1592913	Cogan syndrome	0	0	1
Q18553732	Cogan-Reese syndrome	0	0	2
Q21127479	Cole-Carpenter syndrome	0	0	1
Q319315	Colorado tick fever	0	0	1
Q12125	Common cold	6	0	8
Q473262	Complete androgen insensitivity syndrome	0	0	1
Q2895302	Complex partial seizure	4	0	5
Q21505528	Compton-North congenital myopathy	0	0	1
Q5159188	Condensing osteitis	0	0	1
Q5160431	Congenital fourth nerve palsy	0	0	1
Q5160441	Congenital limb deformities	0	0	1
Q5160450	Congenital self-healing reticulohistiocytosis	0	0	1
Q17012676	Conjunctival squamous cell carcinoma	0	0	1
Q1939330	Conn's syndrome	1	0	3
Q1783300	Contrast-induced nephropathy	0	0	1
Q5168503	Copenhagen disease	0	0	1
Q125466	Coprolalia	0	0	1
Q1131786	Cor pulmonale	0	0	4
Q5169382	Cor triatriatum	0	0	1
Q5171107	Cornea plana 1	0	0	1
Q4365211	Cornea plana 2	0	0	1
Q1133289	Cornelia de Lange syndrome	0	0	1
Q1136492	Costello syndrome	0	0	1
Q1138188	Cowden disease	0	0	1
Q18557680	Cowper gland carcinoma	0	0	1
Q5182134	Craniofacial disease	0	0	1
Q49989	Creutzfeldt-Jakob disease	0	0	3
Q752298	Cri-Du-Chat syndrome	0	0	1
Q1140000	Crigler-Najjar syndrome	0	0	1
Q1077505	Crimean-Congo hemorrhagic fever	0	0	2
Q18553712	Crohn's colitis	4	0	5
Q1472	Crohn's disease	20	0	58
Q1422034	Cronkhite-Canada syndrome	0	0	1
Q779250	Crouzon syndrome	0	0	1
Q1771331	Cryopyrin-associated periodic syndrome	0	0	1
Q219102	Cushing's syndrome	2	0	4
Q5196694	Cutaneous endometriosis	0	0	1
Q5196696	Cutaneous group B streptococcal infection	0	0	1
Q26985508	Cytomegalovirus retinitis	3	0	5
Q18553318	D-2-hydroxyglutaric aciduria	0	0	1
Q18554049	DIC in newborn	0	0	1
Q26492779	DMD-related dilated cardiomyopathy	0	0	1
Q6458655	DNA ligase IV deficiency	0	0	1
Q733493	Dandy-Walker syndrome	0	0	1
Q5220984	Danon disease	0	0	1
Q517202	De Quervain disease	0	0	1
Q5251081	Defatting	0	0	1
Q2460356	Delusional misidentification syndrome	0	0	3
Q4420121	Dent disease	0	0	1
Q2280285	Dentatorubral-pallidoluysian atrophy	0	0	1
Q774016	Denys-Drash syndrome	0	0	3
Q17122800	Desbuquois dysplasia	0	0	1
Q17118937	Developmental verbal dyspraxia	0	0	1
Q3501283	Dextro-Transposition of the great arteries	0	0	3
Q525642	DiGeorge syndrome	0	0	3
Q52856	Diabetic foot	0	0	2
Q52859	Diabetic foot ulcer	0	0	2
Q1208654	Diamond-Blackfan anemia	0	0	2
Q1224295	Dieulafoy lesion	0	0	1
Q2626074	Diffuse large B-cell lymphoma	0	0	2
Q1097302	Diplegia	0	0	1
Q5282840	Distal hereditary motor neuropathies	0	0	1
Q2896802	Distal renal tubular acidosis	0	0	1
Q16944450	Distal spinal muscular atrophy type 2	0	0	1
Q25324086	Diverticular disease	0	0	1
Q2467739	Donohue syndrome	0	0	1
Q7316720	Dowling-Degos disease	0	0	1
Q47715	Down syndrome	0	0	1
Q28065548	Doyne honeycomb retinal dystrophy	0	0	1
Q1255956	Dravet syndrome	0	0	3
Q1258666	Dressler's syndrome	0	0	1
Q1140528	Drusen	0	0	3
Q1262684	Duane retraction syndrome	0	0	2
Q2017218	Duane-radial ray syndrome	0	0	2
Q1263039	Dubin-Johnson syndrome	0	0	1
Q574741	Dubowitz syndrome	0	0	1
Q1648484	Duchenne muscular dystrophy	1	0	2
Q1087232	Dyslalia	0	0	1
Q5322531	EAST syndrome	0	0	1
Q18553951	Eastern equine encephalitis	0	0	2
Q277452	Ebstein anomaly	0	0	2
Q3047124	Ectopic testis	0	0	1
Q5334319	Ectrodactyly–ectodermal dysplasia–cleft syndrome	0	0	3
Q457737	Edwards syndrome‎	0	0	1
Q1141499	Ehlers-Danlos syndrome	0	0	8
Q18553484	Ehlers-Danlos syndrome progeroid type	0	0	1
Q18556603	Ehrlich tumor carcinoma	0	0	1
Q1332448	Ellis-Van Creveld syndrome	0	0	1
Q1335642	Emery-Dreifuss muscular dystrophy	0	0	1
Q16256637	Emphysematous cystitis	0	0	1
Q5376307	Endocrine bone disease	0	0	1
Q686574	Endometrial hyperplasia	3	0	3
Q5376363	Endometrial stromal sarcoma	0	0	1
Q15802235	Endometrial stromal tumour	0	0	1
Q3055079	Enthesitis	0	0	1
Q5381904	Eosinophilic folliculitis	0	0	1
Q18553232	Epstein-Barr virus hepatitis	0	0	2
Q3508608	Erasmus syndrome	0	0	1
Q1349259	Erdheim-Chester disease	1	0	2
Q3591490	Erythroblastopenia	0	0	2
Q3908491	Erythropoietic porphyria	0	0	4
Q3109873	Evans' syndrome	0	0	1
Q18555397	Ewing sarcoma	3	0	7
Q3144201	Excessive daytime sleepiness	0	0	1
Q2051919	Extravasation	1	0	1
Q530142	FG syndrome	0	0	1
Q18553730	FTDALS1	0	0	2
Q18553731	FTDALS2	0	0	2
Q27164433	FTDALS3	0	0	1
Q27164434	FTDALS4	0	0	1
Q615645	Fabry disease	2	0	3
Q1393725	Factor XIII deficiency	0	0	1
Q1179460	Fanconi syndrome	0	0	1
Q845779	Fanconi's anemia	0	0	1
Q18553198	Far Eastern spotted fever	0	0	1
Q1396345	Farber lipogranulomatosis	0	0	1
Q5437240	Fat necrosis	0	0	2
Q5437988	Fatty-acid metabolism disorder	0	0	1
Q5441566	Feingold syndrome	0	0	1
Q1404470	Felty's syndrome	0	0	1
Q18556880	Ferguson-Smith tumor	0	0	1
Q5445898	Fetal disease	0	0	1
Q5445915	Fetal thrombotic vasculopathy	0	0	1
Q4411659	Fibroma of tendon sheath	0	0	1
Q18553371	Finnish type amyloidosis	0	0	1
Q5454124	First arch syndrome	0	0	3
Q189470	Fistula	0	0	1
Q4237691	Fleck corneal dystrophy	0	0	1
Q5459411	Flinders Island spotted fever	0	0	1
Q1435202	Foix–Chavany–Marie syndrome	0	0	1
Q856736	Foreign accent syndrome	0	0	1
Q751261	Foster-Kennedy syndrome	0	0	1
Q1618019	Fox-Fordyce disease	0	0	1
Q1440436	Fragile X-associated tremor/ataxia syndrome	0	0	2
Q5493754	Frasier syndrome	0	0	2
Q1688105	Freiberg disease	0	0	1
Q1431371	Frey syndrome	0	0	1
Q913856	Friedreich ataxia	0	0	1
Q1276885	Froelich syndrome	0	0	1
Q15043641	Frontotemporal dementia and parkinsonism linked to chromosome 17	0	0	1
Q1464888	Fuchs' endothelial dystrophy	0	0	3
Q3676446	Fuchs' heterochromic uveitis	0	0	2
Q1955377	Fukuyama congenital muscular dystrophy	0	0	1
Q5508825	Functional gastrointestinal disorder	4	0	6
Q23808336	Fungal sinusitis	0	0	1
Q18553705	GABA aminotransferase deficiency	0	0	1
Q5514398	GRACILE syndrome	0	0	1
Q21082503	GRID2-related spinocerebellar ataxia	0	0	1
Q17153517	Galactose epimerase deficiency	0	0	1
Q4357083	Galloway-Mowat syndrome	0	0	1
Q18932745	Gamstorp-Wohlfart syndrome	0	0	1
Q18557682	Gasserian ganglion meningioma	0	0	1
Q861645	Gaucher's disease	1	0	3
Q5532491	Generalized lymphadenopathy	0	0	1
Q5532501	Generalized pustular psoriasis	0	0	1
Q5550848	Geriatric trauma	0	0	1
Q1515119	Gerstmann syndrome	0	0	1
Q383228	Gerstmann-Straussler-Scheinker syndrome	0	0	1
Q5558486	Giant platelet disorder	0	0	2
Q752216	Gilbert syndrome	0	0	1
Q191779	Gilles de la Tourette syndrome	8	0	10
