compound_id	compound_name	treats	palliates	total_edges
Q414619	Dicalcium phosphate	0	0	1
Q418556	Dichlorosilane	0	0	1
Q16644597	Difluorosilane	0	0	1
Q516785	Digallane	0	0	1
Q16644176	Diiodosilane	0	0	1
Q769109	Diphenylzinc	0	0	1
Q16062374	Dipotassium tetrachlorozincate	0	0	1
Q418221	Dirhenium decacarbonyl	0	0	1
Q1989071	Dirithromycin	4	0	4
Q2067922	Dornase alfa	1	0	1
Q420191	Dysprosium(III) oxide	0	0	1
Q15116137	Dysprosium(III)-bromide	0	0	1
Q487086	E-6801	0	0	1
Q5321366	E4031	0	0	2
Q18388936	EMA401	0	0	1
Q260375	EMD-386088	0	0	1
Q258775	EMDT	0	0	6
Q5323607	EMPA	0	0	1
Q5323904	EPPTB	0	0	1
Q5376331	Endogenous agonist	0	0	1
Q20817199	Ephedra	2	0	2
Q5383794	Epoetin alfa	1	0	1
Q415343	Etanercept	3	0	3
Q5402585	Eteplirsen	1	0	1
Q15628186	Europium carbonate	0	0	1
Q5931256	Europium(II) sulfide	0	0	1
Q3063311	FLiBe	0	0	2
Q498436	Fenamic acid	0	0	1
Q3151081	Filgrastim	1	0	1
Q413278	Fluoroantimonic acid	0	0	1
Q16712763	Fluorosilane	0	0	1
Q417942	Fluvastatin	3	0	5
Q425293	Fosinopril	2	0	2
Q5508491	Fulvestrant	1	0	1
Q2467555	Furazolidone	5	0	5
Q19597366	GR 196429	0	0	2
Q5514393	GR 89696	0	0	1
Q15409438	GW0742X	0	0	1
Q5516416	Gadolinium(III) nitrate	0	0	1
Q675176	Galinstan	0	0	3
Q418807	Gallium antimonide	0	0	2
Q411713	Gallium nitride	0	0	1
Q4445839	Gallium(I) sulfide	0	0	1
Q3954753	Gallium(II) selenide	0	0	2
Q2616882	Gallium(II) sulfide	0	0	1
Q4120050	Gallium(II) telluride	0	0	2
Q2175117	Gallium(III) bromide	0	0	1
Q2613252	Gallium(III) iodide	0	0	1
Q419487	Gallium(III) oxide	0	0	1
Q4119851	Gallium(III) selenide	0	0	2
Q4445840	Gallium(III) sulfide	0	0	1
Q4119710	Gallium(III) telluride	0	0	2
Q5521314	Ganirelix	1	0	1
Q20817212	Ginseng	1	0	1
Q327506	Glucosamine	1	0	1
Q4413546	Gold(III) selenate	0	0	1
Q20817116	Gonadorelin	1	0	1
Q5627831	H-89	0	0	1
Q5772999	HTMT	0	0	1
Q5636157	HU-243	0	0	1
Q947595	Halofantrine	2	0	39
Q19904197	Helium dimer	0	0	1
Q19904198	Helium trimer	0	0	1
Q1092934	Hexadecacarbonylhexarhodium	0	0	1
Q411250	Hexafluorosilicic acid	0	0	1
Q1032896	Hexamethyldisilane	0	0	1
Q4134929	Hexaphenyldistannane	0	0	1
Q16635985	Hexasilane	0	0	1
Q20817118	Histamine Phosphate	1	0	1
Q73972	Hydroxocobalamin	4	0	4
Q413762	Hyoscyamine	5	0	5
Q5970086	IDRA-21	0	0	4
Q417403	ISOPENTENYL PYROPHOSPHATE	0	0	3
Q5986553	Icodextrin	1	0	1
Q2620206	Imiglucerase	2	0	2
Q6004821	Immepip	0	0	2
Q6004930	Immethridine	0	0	1
Q6006255	Impentamine	0	0	1
Q418616	Indium nitride	0	0	1
Q417718	Indium tin oxide	0	0	2
Q4096880	Indium(I) bromide	0	0	1
Q415512	Indium(III) selenide	0	0	2
Q421215	Indium(III) sulfide	0	0	1
Q4119858	Indium(III) telluride	0	0	2
Q415264	Infliximab	2	0	2
Q3151473	Inosine triphosphate	0	0	1
Q417317	Insulin Glargine	2	0	2
Q3492616	Insulin Lispro	2	0	2
Q6046446	Interferon alfa-n3	1	0	1
Q2450337	Interferon beta-1a	1	0	1
Q1851162	Interferon beta-1b	1	0	1
Q582356	Interferon gamma-1b	2	0	2
Q4445830	Iodo(thioxo)bismuthine	0	0	1
Q4639618	Iodo-Willardiine	0	0	1
Q16707472	Iododsilane	0	0	1
Q6062315	Iodosilane	0	0	1
Q2459042	Ipilimumab	1	0	1
Q418812	Iridium(IV) oxide	0	0	1
Q6072219	Iron(II) molybdate	0	0	1
Q3809435	Iron(II) selenide	0	0	1
Q415550	Isoprenaline	0	0	3
Q411229	Itraconazole	16	0	22
Q415178	Ivermectin	7	0	7
Q13574436	Ixekizumab	0	0	1
Q909405	JDTic	0	0	1
Q6108577	JNJ-7777120	0	0	1
Q6109195	JWH-133	0	0	1
Q12161794	Joro toxin	0	0	3
Q6374755	Kassinin	0	0	2
Q407883	Ketoconazole	15	0	24
Q6456065	L-371,257	0	0	1
Q6456080	L-741,626	0	0	3
Q6456083	L-759,633	0	0	1
Q6456084	L-759,656	0	0	1
Q6456085	L-765314	0	0	1
Q8083967	L-822179	0	0	4
Q6456086	L-838417	0	0	4
Q6456089	L-AP4	0	0	4
Q178450	L-Aspartic Acid	0	0	5
Q408641	L-Citrulline	0	0	1
Q410198	L-Ornithine	0	0	1
Q170545	L-Phenylalanine	0	0	1
Q20035886	L-Proline	0	0	1
Q181003	L-Tryptophan	0	0	3
Q24757824	L-lactide	0	0	1
Q6456082	L745870	0	0	1
Q855386	LP-12	0	0	4
Q855410	LP-211	0	0	2
Q855468	LP-44	0	0	4
Q15409398	LY215840	0	0	1
Q6460414	LY293284	0	0	1
Q6460422	LY334370	0	0	2
Q6460430	LY379268	0	0	3
Q20801774	Laronidase	1	0	1
Q3271949	Lepirudin	2	0	2
Q416950	Levonorgestrel	1	0	2
Q20744432	LiHe	0	0	1
Q899107	Ligand in biochemistry	0	0	1
Q930170	Liothyronine sodium	0	0	1
Q6556102	Liotrix	0	0	1
Q15726036	Lithium selenide	0	0	1
Q423855	MT-II	0	0	4
Q13566097	MTEP	0	0	1
Q419991	Magaldrate	7	0	7
Q421028	Magnesium silicide	0	0	1
Q6748786	Manganese diselenide	0	0	1
Q6748767	Manganese(II) molybdate	0	0	1
Q6748770	Manganese(II) telluride	0	0	1
Q6804390	Mecasermin	1	0	1
Q416667	Medroxyprogesterone	0	0	1
Q736270	Mefloquine	3	0	3
Q412491	Mercury telluride	0	0	2
Q172411	Mercury(I) oxide	0	0	1
Q975274	Mercury(II) hydride	0	0	1
Q978572	Methylsilane	0	0	1
Q421058	Milnacipran	0	0	5
Q15425819	Molybdenum diselenide	0	0	2
Q2352958	Molybdenum disilicide	0	0	2
Q4321618	Molybdenum nitride	0	0	1
Q4445858	Molybdenum trisulfide	0	0	1
Q4096882	Molybdenum(II) bromide	0	0	1
Q3680968	Molybdenum(II) chloride	0	0	1
Q4096883	Molybdenum(III) bromide	0	0	1
Q14762162	Molybdenum(III) iodide	0	0	1
Q16628040	Monobromosilane	0	0	1
Q17310956	N,N-bis(trimethylsilyl)methanamine	0	0	1
Q570757	N,N-dimethyl-5-methoxytryptamine	0	0	3
Q23766508	N-hydroxy-3-[3-(phenylsulfamoyl)phenyl]-2-propenamide	0	0	1
Q632856	N-methyl-D-aspartic acid	0	0	5
Q905651	NAADP	0	0	2
Q3869319	NADA	0	0	2
Q6952318	NAN 190	0	0	5
Q972076	NBQX	0	0	4
Q6477036	NN-dimethyl-D-erythrosphingosine	0	0	1
Q20707377	NPS-2143	0	0	1
Q6955228	NS-398	0	0	1
Q3869873	Nafarelin	2	0	2
Q386119	Natalizumab	1	0	1
Q414832	Neptunium(IV) oxide	0	0	1
Q6997373	Nesiritide	1	0	1
Q18211982	Nickel antimonide	0	0	2
Q18211990	Nickel tungstate	0	0	1
Q408445	Niobium monoxide	0	0	1
Q2348812	Niobium nitride	0	0	1
Q4332917	Niobium oxychloride	0	0	1
Q4202659	Niobium pentaiodide	0	0	1
Q419787	Niobium pentoxide	0	0	1
Q15634204	Niobium triselenide	0	0	2
Q6343237	Niobium(IV) chloride	0	0	1
Q2311164	Niobium(V) bromide	0	0	1
Q417510	Niobium(V) chloride	0	0	1
Q7039308	Niobium(V) ethoxide	0	0	1
Q2023440	Niobocene dichloride	0	0	1
Q422669	Nitrofurantoin	2	0	2
Q15295638	Norelgestromin	1	0	1
Q25105466	Nusinersen	1	0	1
Q251005	Nystatin	4	0	4
Q15409358	O-1602	0	0	2
Q4463	O-arachidonoyl ethanolamine	0	0	1
Q209357	O-chlorobenzylidenemalononitrile	0	0	1
Q2439424	O-tolualdehyde	0	0	1
Q7101741	ORG-37684	0	0	3
Q419935	Octreotide	4	0	4
Q4332937	Oksopentahlororenievaya acid	0	0	1
Q7083108	Olaratumab	0	0	1
Q347621	Olsalazine	1	0	1
Q415392	Omalizumab	1	0	1
Q7101734	Org 12962	0	0	3
Q7101736	Org27569	0	0	1
Q2015243	Organogallium chemistry	0	0	1
Q422327	Oxaliplatin	1	0	1
Q5104342	Oxtriphylline	2	0	2
Q420577	PAF	0	0	1
Q7119049	PF-4800567	0	0	2
Q7119054	PF-592379	0	0	2
Q5007568	PKR inhibitor	0	0	1
Q26763610	PLX7922	0	0	1
Q14664567	PNU-120596	0	0	1
Q265978	PRE-084	0	0	1
Q7120732	PSN375963	0	0	1
Q7120734	PSN632408	0	0	1
Q2185009	Palladium on carbon	0	0	1
Q7127719	Palladium tetrafluoride	0	0	1
Q4505501	Palladium(II) cyanide	0	0	1
Q2357676	Palladium(II) iodide	0	0	1
Q20801767	Pegademase bovine	1	0	1
Q7160547	Pegaspargase	3	0	3
Q1592932	Pegfilgrastim	1	0	1
Q409697	Pegvisomant	1	0	1
Q4359344	Perftoran	0	0	2
Q2710669	Perrhenic acid	0	0	1
Q1649219	Phendimetrazine	1	0	6
Q267896	Phenprocoumon	1	0	2
Q2354337	Phosphatidyl serine	0	0	1
Q3906700	Plicamycin	3	0	3
Q411484	Plutonium tetrafluoride	0	0	1
Q22075831	Podophyllin	5	0	5
Q7225947	Polonium dibromide	0	0	1
Q2377223	Polonium dichloride	0	0	1
Q7225950	Polonium monoxide	0	0	1
Q4498231	Polonium tetrachloride	0	0	1
Q4096887	Polonium(IV) bromide	0	0	1
Q4202664	Polonium(IV) iodide	0	0	1
Q7226181	Polycarbophil calcium	2	0	2
Q410083	Polyethylene glycol	1	0	1
Q15708403	Poractant alfa	1	0	1
Q906453	Posaconazole	1	0	1
Q4300385	Potassium molybdate	0	0	1
Q1631815	Potassium niobate	0	0	1
Q1089194	Potassium nonahydridorhenate	0	0	1
Q15632835	Potassium perrhenate	0	0	1
Q10369545	Potassium selenocyanate	0	0	1
Q419390	Potassium silicate	0	0	2
Q2062094	Pramlintide	1	0	1
Q1026374	Q1026374	0	0	1
Q10863992	Q10863992	0	0	1
Q10925139	Q10925139	0	0	1
Q10925175	Q10925175	0	0	1
Q13896593	Q13896593	0	0	1
Q14773521	Q14773521	0	0	1
Q14956810	Q14956810	0	0	1
Q14965231	Q14965231	0	0	1
Q15040821	Q15040821	0	0	1
Q15069049	Q15069049	0	0	1
Q15118238	Q15118238	0	0	1
Q15627914	Q15627914	0	0	1
Q15627930	Q15627930	0	0	1
Q15627932	Q15627932	0	0	1
Q15627936	Q15627936	0	0	1
Q15627941	Q15627941	0	0	1
Q15627942	Q15627942	0	0	1
Q15627943	Q15627943	0	0	2
Q15627945	Q15627945	0	0	1
Q15627946	Q15627946	0	0	2
Q15627947	Q15627947	0	0	1
Q15627949	Q15627949	0	0	2
Q15627951	Q15627951	0	0	2
Q15627952	Q15627952	0	0	1
Q15627953	Q15627953	0	0	1
Q15627954	Q15627954	0	0	1
Q15627955	Q15627955	0	0	1
Q15627957	Q15627957	0	0	1
Q15627958	Q15627958	0	0	1
Q15627960	Q15627960	0	0	1
Q15627962	Q15627962	0	0	1
Q15627964	Q15627964	0	0	1
Q15627965	Q15627965	0	0	1
Q15627966	Q15627966	0	0	1
Q15627967	Q15627967	0	0	1
Q15627971	Q15627971	0	0	1
Q15627972	Q15627972	0	0	1
Q15627973	Q15627973	0	0	1
Q15627974	Q15627974	0	0	1
Q15627975	Q15627975	0	0	2
Q15627976	Q15627976	0	0	1
Q15627977	Q15627977	0	0	2
Q15627978	Q15627978	0	0	1
Q15627979	Q15627979	0	0	1
Q15627980	Q15627980	0	0	1
Q15627981	Q15627981	0	0	1
Q15627982	Q15627982	0	0	1
Q15627983	Q15627983	0	0	1
Q15627984	Q15627984	0	0	1
Q15627985	Q15627985	0	0	1
Q15627987	Q15627987	0	0	1
Q15627989	Q15627989	0	0	1
Q15627993	Q15627993	0	0	1
Q15627996	Q15627996	0	0	1
Q15627998	Q15627998	0	0	2
Q15628000	Q15628000	0	0	1
Q15628025	Q15628025	0	0	1
Q15628030	Q15628030	0	0	1
Q15628032	Q15628032	0	0	1
Q15628034	Q15628034	0	0	1
Q15628035	Q15628035	0	0	1
Q15628037	Q15628037	0	0	1
Q15628038	Q15628038	0	0	1
Q15628039	Q15628039	0	0	1
Q15628041	Q15628041	0	0	1
Q15628042	Q15628042	0	0	1
Q15628043	Q15628043	0	0	1
Q15628044	Q15628044	0	0	1
Q15628046	Q15628046	0	0	1
Q15628047	Q15628047	0	0	2
Q15628049	Q15628049	0	0	2
Q15628050	Q15628050	0	0	2
Q15628051	Q15628051	0	0	2
Q15628052	Q15628052	0	0	2
Q15628053	Q15628053	0	0	1
Q15628054	Q15628054	0	0	1
Q15628055	Q15628055	0	0	1
Q15628069	Q15628069	0	0	1
Q15628070	Q15628070	0	0	1
Q15628077	Q15628077	0	0	2
Q15628079	Q15628079	0	0	2
Q15628080	Q15628080	0	0	2
Q15628081	Q15628081	0	0	1
Q15628082	Q15628082	0	0	1
Q15628083	Q15628083	0	0	1
Q15628084	Q15628084	0	0	1
Q15628086	Q15628086	0	0	2
Q15628087	Q15628087	0	0	1
Q15628091	Q15628091	0	0	1
Q15628096	Q15628096	0	0	1
Q15628098	Q15628098	0	0	1
Q15628105	Q15628105	0	0	1
Q15628115	Q15628115	0	0	1
Q15628116	Q15628116	0	0	1
Q15628117	Q15628117	0	0	1
Q15628118	Q15628118	0	0	1
Q15628119	Q15628119	0	0	1
Q15628124	Q15628124	0	0	1
Q15628126	Q15628126	0	0	1
Q15628129	Q15628129	0	0	1
Q15628140	Q15628140	0	0	1
Q15628147	Q15628147	0	0	1
Q15628164	Q15628164	0	0	1
Q15628165	Q15628165	0	0	1
Q15628166	Q15628166	0	0	1
Q15628168	Q15628168	0	0	1
Q15628178	Q15628178	0	0	1
Q15628179	Q15628179	0	0	1
Q15628180	Q15628180	0	0	1
Q15628182	Q15628182	0	0	1
Q15628183	Q15628183	0	0	1
Q15628184	Q15628184	0	0	1
Q15628185	Q15628185	0	0	1
Q15628187	Q15628187	0	0	1
Q15628188	Q15628188	0	0	1
Q15628191	Q15628191	0	0	1
Q15628192	Q15628192	0	0	1
Q15628194	Q15628194	0	0	1
Q15628195	Q15628195	0	0	1
Q15628196	Q15628196	0	0	1
Q15628197	Q15628197	0	0	1
Q15628199	Q15628199	0	0	1
Q15628200	Q15628200	0	0	2
Q15628201	Q15628201	0	0	1
Q15628202	Q15628202	0	0	1
Q15628204	Q15628204	0	0	1
Q15628206	Q15628206	0	0	1
Q15628207	Q15628207	0	0	2
Q15628212	Q15628212	0	0	2
Q15628213	Q15628213	0	0	1
Q15628214	Q15628214	0	0	2
Q15628215	Q15628215	0	0	2
Q15628216	Q15628216	0	0	1
Q15628218	Q15628218	0	0	2
Q15628219	Q15628219	0	0	1
Q15628221	Q15628221	0	0	1
Q15628222	Q15628222	0	0	1
Q15628223	Q15628223	0	0	1
Q15628225	Q15628225	0	0	1
Q15628227	Q15628227	0	0	1
Q15628229	Q15628229	0	0	1
Q15628230	Q15628230	0	0	1
Q15628231	Q15628231	0	0	2
Q15628235	Q15628235	0	0	1
Q15628236	Q15628236	0	0	1
Q15628238	Q15628238	0	0	1
Q15628241	Q15628241	0	0	1
Q15628242	Q15628242	0	0	1
Q15628244	Q15628244	0	0	1
Q15628282	Q15628282	0	0	1
Q15628317	Q15628317	0	0	1
Q15628318	Q15628318	0	0	1
Q15628319	Q15628319	0	0	1
Q15628320	Q15628320	0	0	1
Q15628324	Q15628324	0	0	1
