compound_id	compound_name	disease_id	disease_name	rel_type
Q20801763	Aldesleukin	Q18556697	human immunodeficiency virus infectious disease	drug-used-for-treatment_DduftC
Q20801763	Aldesleukin	Q18556932	large intestine cancer	drug-used-for-treatment_DduftC
Q20801763	Aldesleukin	Q18557998	lymphosarcoma	drug-used-for-treatment_DduftC
Q20801763	Aldesleukin	Q180614	melanoma	drug-used-for-treatment_DduftC
Q20801763	Aldesleukin	Q467635	multiple myeloma	drug-used-for-treatment_DduftC
Q3609421	Alefacept	Q4676432	pustulosis of palm and sole	drug-used-for-treatment_DduftC
Q420164	Alemtuzumab	Q1088156	chronic lymphocytic leukemia	drug-used-for-treatment_DduftC
Q4724257	Alglucerase	Q929737	liver disease	drug-used-for-treatment_DduftC
Q4724257	Alglucerase	Q7578540	splenic disease	drug-used-for-treatment_DduftC
Q415411	Anakinra	Q187255	rheumatoid arthritis	drug-used-for-treatment_DduftC
Q4765471	Anistreplase	Q12152	myocardial infarction	drug-used-for-treatment_DduftC
Q4765471	Anistreplase	Q220570	pulmonary embolism	drug-used-for-treatment_DduftC
Q20801759	Antihemophilic Factor	Q18555032	factor VII deficiency	drug-used-for-treatment_DduftC
Q20801759	Antihemophilic Factor	Q2092064	factor VIII deficiency	drug-used-for-treatment_DduftC
Q20801759	Antihemophilic Factor	Q709360	von Willebrand's disease	drug-used-for-treatment_DduftC
Q421534	Asparaginase Erwinia chrysanthemi	Q6708277	lymphoid leukemia	drug-used-for-treatment_DduftC
Q421534	Asparaginase Erwinia chrysanthemi	Q208414	lymphoma	drug-used-for-treatment_DduftC
Q26272	Atropine	Q202837	cardiac arrest	drug-used-for-treatment_DduftC
Q26272	Atropine	Q18553940	gastric ulcer	drug-used-for-treatment_DduftC
Q26272	Atropine	Q280027	uveitis	drug-used-for-treatment_DduftC
Q21083261	Avelumab	Q1711744	Merkel cell carcinoma	drug-used-for-treatment_DduftC
Q21083261	Avelumab	Q1783924	head and neck cancer	drug-used-for-treatment_DduftC
Q21083261	Avelumab	Q3242950	kidney cancer	drug-used-for-treatment_DduftC
Q21083261	Avelumab	Q1077603	mesothelioma	drug-used-for-treatment_DduftC
Q21083261	Avelumab	Q18556113	non-small cell lung carcinoma	drug-used-for-treatment_DduftC
Q21083261	Avelumab	Q172341	ovarian cancer	drug-used-for-treatment_DduftC
Q21083261	Avelumab	Q189588	stomach cancer	drug-used-for-treatment_DduftC
Q21083261	Avelumab	Q504775	urinary bladder cancer	drug-used-for-treatment_DduftC
Q2313188	Becaplermin	Q3547899	leg ulcers	drug-used-for-treatment_DduftC
Q413299	Bevacizumab	Q33525	carcinoma	drug-used-for-treatment_DduftC
Q413299	Bevacizumab	Q1266519	corneal neovascularization	drug-used-for-treatment_DduftC
Q413299	Bevacizumab	Q18554884	retinal vein occlusion	drug-used-for-treatment_DduftC
Q4919218	Bivalirudin	Q2032041	intermediate coronary syndrome	drug-used-for-treatment_DduftC
Q415571	Bleomycin	Q18557991	Hodgkin's lymphoma, mixed cellularity	drug-used-for-treatment_DduftC
Q415571	Bleomycin	Q18557998	lymphosarcoma	drug-used-for-treatment_DduftC
Q415571	Bleomycin	Q180614	melanoma	drug-used-for-treatment_DduftC
Q415571	Bleomycin	Q18975788	spindle cell sarcoma	drug-used-for-treatment_DduftC
Q415571	Bleomycin	Q681817	squamous cell carcinoma	drug-used-for-treatment_DduftC
Q415571	Bleomycin	Q324464	testicular cancer	drug-used-for-treatment_DduftC
Q15709005	Botulinum Toxin Type B	Q906492	dystonia	drug-used-for-treatment_DduftC
Q5018826	Calcium Gluceptate	Q511818	Tetany	drug-used-for-treatment_DduftC
Q5018826	Calcium Gluceptate	Q202837	cardiac arrest	drug-used-for-treatment_DduftC
Q5018826	Calcium Gluceptate	Q736715	chronic kidney disease	drug-used-for-treatment_DduftC
Q5018826	Calcium Gluceptate	Q18968110	duodenal ulcer	drug-used-for-treatment_DduftC
Q5018826	Calcium Gluceptate	Q653971	dyspepsia	drug-used-for-treatment_DduftC
Q5018826	Calcium Gluceptate	Q18553940	gastric ulcer	drug-used-for-treatment_DduftC
Q5018826	Calcium Gluceptate	Q223591	gastroesophageal reflux disease	drug-used-for-treatment_DduftC
Q5018826	Calcium Gluceptate	Q165328	osteoporosis	drug-used-for-treatment_DduftC
Q5018826	Calcium Gluceptate	Q18554653	peptic esophagitis	drug-used-for-treatment_DduftC
Q5018826	Calcium Gluceptate	Q172941	peptic ulcer disease	drug-used-for-treatment_DduftC
Q415909	Capreomycin	Q12204	tuberculosis	drug-used-for-treatment_DduftC
Q415588	Carboplatin	Q18556569	bone marrow disease	drug-used-for-treatment_DduftC
Q415588	Carboplatin	Q128581	breast cancer	drug-used-for-treatment_DduftC
Q415588	Carboplatin	Q18556002	central nervous system cancer	drug-used-for-treatment_DduftC
Q415588	Carboplatin	Q18557394	embryonal cancer	drug-used-for-treatment_DduftC
Q415588	Carboplatin	Q18555222	endometrial carcinoma	drug-used-for-treatment_DduftC
Q415588	Carboplatin	Q372701	esophageal cancer	drug-used-for-treatment_DduftC
Q415588	Carboplatin	Q1783924	head and neck cancer	drug-used-for-treatment_DduftC
Q415588	Carboplatin	Q18556020	lung benign neoplasm	drug-used-for-treatment_DduftC
Q415588	Carboplatin	Q549534	osteosarcoma	drug-used-for-treatment_DduftC
Q415588	Carboplatin	Q172341	ovarian cancer	drug-used-for-treatment_DduftC
Q415588	Carboplatin	Q504775	urinary bladder cancer	drug-used-for-treatment_DduftC
Q420875	Caspofungin	Q259626	aspergillosis	drug-used-for-treatment_DduftC
Q2602246	Cefotetan	Q19597369	Gram-negative bacterial infection	drug-used-for-treatment_DduftC
Q2602246	Cefotetan	Q34879	Staphylococcal infection	drug-used-for-treatment_DduftC
Q2602246	Cefotetan	Q221668	acute cystitis	drug-used-for-treatment_DduftC
Q2602246	Cefotetan	Q5442760	female reproductive system disease	drug-used-for-treatment_DduftC
Q2602246	Cefotetan	Q223102	peritonitis	drug-used-for-treatment_DduftC
Q808845	Ceftazidime	Q19597369	Gram-negative bacterial infection	drug-used-for-treatment_DduftC
Q808845	Ceftazidime	Q16935263	Serratia infection	drug-used-for-treatment_DduftC
Q808845	Ceftazidime	Q34879	Staphylococcal infection	drug-used-for-treatment_DduftC
Q808845	Ceftazidime	Q221668	acute cystitis	drug-used-for-treatment_DduftC
Q808845	Ceftazidime	Q3678510	bacterial meningitis	drug-used-for-treatment_DduftC
Q808845	Ceftazidime	Q3776920	bacterial pneumonia	drug-used-for-treatment_DduftC
Q808845	Ceftazidime	Q1435822	neutropenia	drug-used-for-treatment_DduftC
Q412909	Certolizumab pegol	Q1472	Crohn's disease	drug-used-for-treatment_DduftC
Q423809	Chlorprothixene	Q2606101	paranoid schizophrenia	drug-used-for-treatment_DduftC
Q423809	Chlorprothixene	Q41112	schizophrenia	drug-used-for-treatment_DduftC
Q423809	Chlorprothixene	Q2157462	schizophreniform disorder	drug-used-for-treatment_DduftC
Q414030	Cladribine	Q1088156	chronic lymphocytic leukemia	drug-used-for-treatment_DduftC
Q414030	Cladribine	Q201299	hairy cell leukemia	drug-used-for-treatment_DduftC
Q414030	Cladribine	Q18557998	lymphosarcoma	drug-used-for-treatment_DduftC
Q414030	Cladribine	Q8277	multiple sclerosis	drug-used-for-treatment_DduftC
Q422273	Clindamycin	Q34879	Staphylococcal infection	drug-used-for-treatment_DduftC
Q422273	Clindamycin	Q79928	acne	drug-used-for-treatment_DduftC
Q422273	Clindamycin	Q804521	bacterial vaginosis	drug-used-for-treatment_DduftC
Q422273	Clindamycin	Q7205993	pneumocystosis	drug-used-for-treatment_DduftC
Q422273	Clindamycin	Q154878	toxoplasmosis	drug-used-for-treatment_DduftC
Q5134843	Clocortolone	Q18555301	facial dermatosis	drug-used-for-treatment_DduftC
Q5134843	Clocortolone	Q18555313	hand dermatosis	drug-used-for-treatment_DduftC
Q5134843	Clocortolone	Q18555307	leg dermatosis	drug-used-for-treatment_DduftC
Q5134843	Clocortolone	Q18555302	scalp dermatosis	drug-used-for-treatment_DduftC
Q899036	Colesevelam	Q574905	Clostridium difficile colitis	drug-used-for-treatment_DduftC
Q899036	Colesevelam	Q184559	arteriosclerosis	drug-used-for-treatment_DduftC
Q899036	Colesevelam	Q844935	coronary artery disease	drug-used-for-treatment_DduftC
Q899036	Colesevelam	Q18554145	familial hyperlipidemia	drug-used-for-treatment_DduftC
Q3294635	Colestipol	Q574905	Clostridium difficile colitis	drug-used-for-treatment_DduftC
Q3294635	Colestipol	Q184559	arteriosclerosis	drug-used-for-treatment_DduftC
Q3294635	Colestipol	Q844935	coronary artery disease	drug-used-for-treatment_DduftC
Q3294635	Colestipol	Q18554145	familial hyperlipidemia	drug-used-for-treatment_DduftC
Q418006	Colestyramine	Q574905	Clostridium difficile colitis	drug-used-for-treatment_DduftC
Q418006	Colestyramine	Q184559	arteriosclerosis	drug-used-for-treatment_DduftC
Q418006	Colestyramine	Q844935	coronary artery disease	drug-used-for-treatment_DduftC
Q418006	Colestyramine	Q18554145	familial hyperlipidemia	drug-used-for-treatment_DduftC
Q20817140	Colistimethate	Q19597369	Gram-negative bacterial infection	drug-used-for-treatment_DduftC
Q20817140	Colistimethate	Q221668	acute cystitis	drug-used-for-treatment_DduftC
Q5145911	Collagenase clostridium histolyticum	Q308978	decubitus ulcer	drug-used-for-treatment_DduftC
Q252251	Cyanocobalamin	Q9294654	alcoholic neuropathy	drug-used-for-treatment_DduftC
Q252251	Cyanocobalamin	Q18554377	diabetic polyneuropathy	drug-used-for-treatment_DduftC
Q252251	Cyanocobalamin	Q8277	multiple sclerosis	drug-used-for-treatment_DduftC
Q252251	Cyanocobalamin	Q1346016	pernicious anemia	drug-used-for-treatment_DduftC
Q421239	D-penicillamine	Q1149046	cystinuria	drug-used-for-treatment_DduftC
Q421239	D-penicillamine	Q1072420	primary biliary cirrhosis	drug-used-for-treatment_DduftC
Q421239	D-penicillamine	Q187255	rheumatoid arthritis	drug-used-for-treatment_DduftC
Q161249	DL-lactic acid	Q229256	dermatitis	drug-used-for-treatment_DduftC
Q161249	DL-lactic acid	Q18555301	facial dermatosis	drug-used-for-treatment_DduftC
Q1851701	Dalteparin	Q2032041	intermediate coronary syndrome	drug-used-for-treatment_DduftC
Q1851701	Dalteparin	Q12152	myocardial infarction	drug-used-for-treatment_DduftC
Q1851701	Dalteparin	Q220570	pulmonary embolism	drug-used-for-treatment_DduftC
Q1851701	Dalteparin	Q377978	thrombophlebitis	drug-used-for-treatment_DduftC
Q241006	Desmopressin	Q220551	diabetes insipidus	drug-used-for-treatment_DduftC
Q241006	Desmopressin	Q611571	hemorrhagic disease	drug-used-for-treatment_DduftC
Q241006	Desmopressin	Q585285	thrombocytopenia	drug-used-for-treatment_DduftC
Q241006	Desmopressin	Q709360	von Willebrand's disease	drug-used-for-treatment_DduftC
Q1989071	Dirithromycin	Q34879	Staphylococcal infection	drug-used-for-treatment_DduftC
Q1989071	Dirithromycin	Q3776920	bacterial pneumonia	drug-used-for-treatment_DduftC
Q1989071	Dirithromycin	Q2085267	pharyngitis	drug-used-for-treatment_DduftC
Q1989071	Dirithromycin	Q186470	tonsillitis	drug-used-for-treatment_DduftC
Q2067922	Dornase alfa	Q178194	cystic fibrosis	drug-used-for-treatment_DduftC
Q20817199	Ephedra	Q35869	asthma	drug-used-for-treatment_DduftC
Q20817199	Ephedra	Q114085	rhinitis	drug-used-for-treatment_DduftC
Q5383794	Epoetin alfa	Q5445	anemia	drug-used-for-treatment_DduftC
Q415343	Etanercept	Q861224	juvenile rheumatoid arthritis	drug-used-for-treatment_DduftC
Q415343	Etanercept	Q511097	psoriatic arthritis	drug-used-for-treatment_DduftC
Q415343	Etanercept	Q187255	rheumatoid arthritis	drug-used-for-treatment_DduftC
Q5402585	Eteplirsen	Q1648484	Duchenne muscular dystrophy	drug-used-for-treatment_DduftC
Q3151081	Filgrastim	Q1435822	neutropenia	drug-used-for-treatment_DduftC
Q417942	Fluvastatin	Q184559	arteriosclerosis	drug-used-for-treatment_DduftC
Q417942	Fluvastatin	Q844935	coronary artery disease	drug-used-for-treatment_DduftC
Q417942	Fluvastatin	Q18554145	familial hyperlipidemia	drug-used-for-treatment_DduftC
Q425293	Fosinopril	Q19000661	congestive heart failure	drug-used-for-treatment_DduftC
Q425293	Fosinopril	Q41861	hypertension	drug-used-for-treatment_DduftC
Q5508491	Fulvestrant	Q128581	breast cancer	drug-used-for-treatment_DduftC
Q2467555	Furazolidone	Q19597369	Gram-negative bacterial infection	drug-used-for-treatment_DduftC
Q2467555	Furazolidone	Q34879	Staphylococcal infection	drug-used-for-treatment_DduftC
Q2467555	Furazolidone	Q12090	cholera	drug-used-for-treatment_DduftC
Q2467555	Furazolidone	Q326071	giardiasis	drug-used-for-treatment_DduftC
Q2467555	Furazolidone	Q327298	shigellosis	drug-used-for-treatment_DduftC
Q5521314	Ganirelix	Q1760461	ovarian hyperstimulation syndrome	drug-used-for-treatment_DduftC
Q20817212	Ginseng	Q184674	impotence	drug-used-for-treatment_DduftC
Q327506	Glucosamine	Q62736	osteoarthritis	drug-used-for-treatment_DduftC
Q20817116	Gonadorelin	Q334655	amenorrhea	drug-used-for-treatment_DduftC
Q947595	Halofantrine	Q18554672	Plasmodium falciparum malaria	drug-used-for-treatment_DduftC
Q947595	Halofantrine	Q18554412	Plasmodium vivax malaria	drug-used-for-treatment_DduftC
Q20817118	Histamine Phosphate	Q133823	migraine	drug-used-for-treatment_DduftC
Q73972	Hydroxocobalamin	Q9294654	alcoholic neuropathy	drug-used-for-treatment_DduftC
Q73972	Hydroxocobalamin	Q18554377	diabetic polyneuropathy	drug-used-for-treatment_DduftC
Q73972	Hydroxocobalamin	Q8277	multiple sclerosis	drug-used-for-treatment_DduftC
Q73972	Hydroxocobalamin	Q1346016	pernicious anemia	drug-used-for-treatment_DduftC
Q413762	Hyoscyamine	Q3055380	intestinal disease	drug-used-for-treatment_DduftC
Q413762	Hyoscyamine	Q838966	irritable bowel syndrome	drug-used-for-treatment_DduftC
Q413762	Hyoscyamine	Q2339038	neurogenic bladder	drug-used-for-treatment_DduftC
Q413762	Hyoscyamine	Q172941	peptic ulcer disease	drug-used-for-treatment_DduftC
Q413762	Hyoscyamine	Q114085	rhinitis	drug-used-for-treatment_DduftC
Q5986553	Icodextrin	Q486485	Anasarca	drug-used-for-treatment_DduftC
Q2620206	Imiglucerase	Q929737	liver disease	drug-used-for-treatment_DduftC
Q2620206	Imiglucerase	Q7578540	splenic disease	drug-used-for-treatment_DduftC
Q415264	Infliximab	Q1472	Crohn's disease	drug-used-for-treatment_DduftC
Q415264	Infliximab	Q2012569	endometriosis of uterus	drug-used-for-treatment_DduftC
Q417317	Insulin Glargine	Q271993	hyperglycemia	drug-used-for-treatment_DduftC
Q417317	Insulin Glargine	Q124407	type 1 diabetes mellitus	drug-used-for-treatment_DduftC
Q3492616	Insulin Lispro	Q271993	hyperglycemia	drug-used-for-treatment_DduftC
Q3492616	Insulin Lispro	Q124407	type 1 diabetes mellitus	drug-used-for-treatment_DduftC
Q6046446	Interferon alfa-n3	Q208726	anogenital venereal wart	drug-used-for-treatment_DduftC
Q2450337	Interferon beta-1a	Q8277	multiple sclerosis	drug-used-for-treatment_DduftC
Q1851162	Interferon beta-1b	Q8277	multiple sclerosis	drug-used-for-treatment_DduftC
Q582356	Interferon gamma-1b	Q727028	bacterial infectious disease	drug-used-for-treatment_DduftC
Q582356	Interferon gamma-1b	Q1755568	osteopetrosis	drug-used-for-treatment_DduftC
Q2459042	Ipilimumab	Q33525	carcinoma	drug-used-for-treatment_DduftC
Q411229	Itraconazole	Q356713	Aspergilloma	drug-used-for-treatment_DduftC
Q411229	Itraconazole	Q17141201	Tinea	drug-used-for-treatment_DduftC
Q411229	Itraconazole	Q259626	aspergillosis	drug-used-for-treatment_DduftC
Q411229	Itraconazole	Q627368	blastomycosis	drug-used-for-treatment_DduftC
Q411229	Itraconazole	Q273510	candidiasis	drug-used-for-treatment_DduftC
Q411229	Itraconazole	Q868137	coccidioidomycosis	drug-used-for-treatment_DduftC
Q411229	Itraconazole	Q1470140	cryptococcosis	drug-used-for-treatment_DduftC
Q411229	Itraconazole	Q18553212	cutaneous mycosis	drug-used-for-treatment_DduftC
Q411229	Itraconazole	Q464067	fungal infectious disease	drug-used-for-treatment_DduftC
Q411229	Itraconazole	Q627625	histoplasmosis	drug-used-for-treatment_DduftC
Q411229	Itraconazole	Q331283	leishmaniasis	drug-used-for-treatment_DduftC
Q411229	Itraconazole	Q1435822	neutropenia	drug-used-for-treatment_DduftC
Q411229	Itraconazole	Q3327495	oral candidiasis	drug-used-for-treatment_DduftC
Q411229	Itraconazole	Q247096	paracoccidioidomycosis	drug-used-for-treatment_DduftC
Q411229	Itraconazole	Q767327	sporotrichosis	drug-used-for-treatment_DduftC
Q411229	Itraconazole	Q977090	vulvovaginal candidiasis	drug-used-for-treatment_DduftC
Q415178	Ivermectin	Q842428	ascariasis	drug-used-for-treatment_DduftC
Q415178	Ivermectin	Q16775468	elephantiasis	drug-used-for-treatment_DduftC
Q415178	Ivermectin	Q4280605	mansonelliasis	drug-used-for-treatment_DduftC
Q415178	Ivermectin	Q1137321	onchocerciasis	drug-used-for-treatment_DduftC
Q415178	Ivermectin	Q167178	scabies	drug-used-for-treatment_DduftC
Q415178	Ivermectin	Q2360849	strongyloidiasis	drug-used-for-treatment_DduftC
Q415178	Ivermectin	Q2264130	trichuriasis	drug-used-for-treatment_DduftC
Q407883	Ketoconazole	Q17141201	Tinea	drug-used-for-treatment_DduftC
Q407883	Ketoconazole	Q627368	blastomycosis	drug-used-for-treatment_DduftC
Q407883	Ketoconazole	Q273510	candidiasis	drug-used-for-treatment_DduftC
Q407883	Ketoconazole	Q868137	coccidioidomycosis	drug-used-for-treatment_DduftC
Q407883	Ketoconazole	Q26985509	cutaneous candidiasis	drug-used-for-treatment_DduftC
Q407883	Ketoconazole	Q18553212	cutaneous mycosis	drug-used-for-treatment_DduftC
Q407883	Ketoconazole	Q464067	fungal infectious disease	drug-used-for-treatment_DduftC
Q407883	Ketoconazole	Q627625	histoplasmosis	drug-used-for-treatment_DduftC
Q407883	Ketoconazole	Q331283	leishmaniasis	drug-used-for-treatment_DduftC
Q407883	Ketoconazole	Q3327495	oral candidiasis	drug-used-for-treatment_DduftC
Q407883	Ketoconazole	Q247096	paracoccidioidomycosis	drug-used-for-treatment_DduftC
Q407883	Ketoconazole	Q926462	pityriasis versicolor	drug-used-for-treatment_DduftC
Q407883	Ketoconazole	Q448310	seborrheic dermatitis	drug-used-for-treatment_DduftC
Q407883	Ketoconazole	Q5609817	tinea pedis	drug-used-for-treatment_DduftC
Q407883	Ketoconazole	Q977090	vulvovaginal candidiasis	drug-used-for-treatment_DduftC
Q20801774	Laronidase	Q1906054	mucopolysaccharidosis I	drug-used-for-treatment_DduftC
Q3271949	Lepirudin	Q2032041	intermediate coronary syndrome	drug-used-for-treatment_DduftC
Q3271949	Lepirudin	Q585285	thrombocytopenia	drug-used-for-treatment_DduftC
Q416950	Levonorgestrel	Q2012569	endometriosis of uterus	drug-used-for-treatment_DduftC
Q419991	Magaldrate	Q736715	chronic kidney disease	drug-used-for-treatment_DduftC
Q419991	Magaldrate	Q18968110	duodenal ulcer	drug-used-for-treatment_DduftC
Q419991	Magaldrate	Q653971	dyspepsia	drug-used-for-treatment_DduftC
Q419991	Magaldrate	Q18553940	gastric ulcer	drug-used-for-treatment_DduftC
Q419991	Magaldrate	Q223591	gastroesophageal reflux disease	drug-used-for-treatment_DduftC
Q419991	Magaldrate	Q727153	hiatus hernia	drug-used-for-treatment_DduftC
Q419991	Magaldrate	Q172941	peptic ulcer disease	drug-used-for-treatment_DduftC
Q6804390	Mecasermin	Q1472	Crohn's disease	drug-used-for-treatment_DduftC
Q736270	Mefloquine	Q18554672	Plasmodium falciparum malaria	drug-used-for-treatment_DduftC
Q736270	Mefloquine	Q18554412	Plasmodium vivax malaria	drug-used-for-treatment_DduftC
Q736270	Mefloquine	Q12156	malaria	drug-used-for-treatment_DduftC
Q3869873	Nafarelin	Q205764	endometriosis	drug-used-for-treatment_DduftC
Q3869873	Nafarelin	Q2012569	endometriosis of uterus	drug-used-for-treatment_DduftC
Q386119	Natalizumab	Q1472	Crohn's disease	drug-used-for-treatment_DduftC
Q6997373	Nesiritide	Q19000661	congestive heart failure	drug-used-for-treatment_DduftC
Q422669	Nitrofurantoin	Q19597369	Gram-negative bacterial infection	drug-used-for-treatment_DduftC
Q422669	Nitrofurantoin	Q221668	acute cystitis	drug-used-for-treatment_DduftC
Q15295638	Norelgestromin	Q334655	amenorrhea	drug-used-for-treatment_DduftC
Q25105466	Nusinersen	Q580290	spinal muscular atrophy	drug-used-for-treatment_DduftC
Q251005	Nystatin	Q273510	candidiasis	drug-used-for-treatment_DduftC
Q251005	Nystatin	Q26985509	cutaneous candidiasis	drug-used-for-treatment_DduftC
Q251005	Nystatin	Q3327495	oral candidiasis	drug-used-for-treatment_DduftC
Q251005	Nystatin	Q977090	vulvovaginal candidiasis	drug-used-for-treatment_DduftC
Q419935	Octreotide	Q189580	acromegaly	drug-used-for-treatment_DduftC
Q419935	Octreotide	Q18557172	follicular adenoma	drug-used-for-treatment_DduftC
Q419935	Octreotide	Q212961	pancreatic cancer	drug-used-for-treatment_DduftC
Q419935	Octreotide	Q18556544	pituitary carcinoma	drug-used-for-treatment_DduftC
Q347621	Olsalazine	Q1477	ulcerative colitis	drug-used-for-treatment_DduftC
Q415392	Omalizumab	Q42982	type I hypersensitivity	drug-used-for-treatment_DduftC
Q422327	Oxaliplatin	Q18556932	large intestine cancer	drug-used-for-treatment_DduftC
Q5104342	Oxtriphylline	Q35869	asthma	drug-used-for-treatment_DduftC
Q5104342	Oxtriphylline	Q188605	pulmonary emphysema	drug-used-for-treatment_DduftC
Q20801767	Pegademase bovine	Q18557017	MHC class II deficiency	drug-used-for-treatment_DduftC
Q7160547	Pegaspargase	Q1088156	chronic lymphocytic leukemia	drug-used-for-treatment_DduftC
Q7160547	Pegaspargase	Q6708277	lymphoid leukemia	drug-used-for-treatment_DduftC
Q7160547	Pegaspargase	Q18557998	lymphosarcoma	drug-used-for-treatment_DduftC
Q1592932	Pegfilgrastim	Q1435822	neutropenia	drug-used-for-treatment_DduftC
Q409697	Pegvisomant	Q189580	acromegaly	drug-used-for-treatment_DduftC
Q1649219	Phendimetrazine	Q12174	Obesity	drug-used-for-treatment_DduftC
Q267896	Phenprocoumon	Q220570	pulmonary embolism	drug-used-for-treatment_DduftC
Q3906700	Plicamycin	Q729735	chronic myeloid leukemia	drug-used-for-treatment_DduftC
Q3906700	Plicamycin	Q1474877	hypercalcemia	drug-used-for-treatment_DduftC
Q3906700	Plicamycin	Q324464	testicular cancer	drug-used-for-treatment_DduftC
Q22075831	Podophyllin	Q208726	anogenital venereal wart	drug-used-for-treatment_DduftC
Q22075831	Podophyllin	Q18554021	common wart	drug-used-for-treatment_DduftC
Q22075831	Podophyllin	Q5442760	female reproductive system disease	drug-used-for-treatment_DduftC
Q22075831	Podophyllin	Q6742925	male reproductive system disease	drug-used-for-treatment_DduftC
Q22075831	Podophyllin	Q7581954	squamous cell papilloma	drug-used-for-treatment_DduftC
Q7226181	Polycarbophil calcium	Q178436	constipation (use to describe an act)	drug-used-for-treatment_DduftC
Q7226181	Polycarbophil calcium	Q838966	irritable bowel syndrome	drug-used-for-treatment_DduftC
Q410083	Polyethylene glycol	Q178436	constipation (use to describe an act)	drug-used-for-treatment_DduftC
Q15708403	Poractant alfa	Q754348	newborn respiratory distress syndrome	drug-used-for-treatment_DduftC
Q906453	Posaconazole	Q356713	Aspergilloma	drug-used-for-treatment_DduftC
Q2062094	Pramlintide	Q124407	type 1 diabetes mellitus	drug-used-for-treatment_DduftC
Q414270	Ranibizumab	Q1266519	corneal neovascularization	drug-used-for-treatment_DduftC
Q414270	Ranibizumab	Q18554884	retinal vein occlusion	drug-used-for-treatment_DduftC
Q3088229	Rasburicase	Q49970	hyperuricemia	drug-used-for-treatment_DduftC
Q7334443	Rimexolone	Q3154357	anterior uveitis	drug-used-for-treatment_DduftC
Q412323	Rituximab	Q4833719	B-cell lymphoma	drug-used-for-treatment_DduftC
Q412323	Rituximab	Q11039483	IgG4-related disease	drug-used-for-treatment_DduftC
Q3950557	Sargramostim	Q1472	Crohn's disease	drug-used-for-treatment_DduftC
Q3950557	Sargramostim	Q18557991	Hodgkin's lymphoma, mixed cellularity	drug-used-for-treatment_DduftC
Q3950557	Sargramostim	Q128581	breast cancer	drug-used-for-treatment_DduftC
Q3950557	Sargramostim	Q6708277	lymphoid leukemia	drug-used-for-treatment_DduftC
Q3950557	Sargramostim	Q18557998	lymphosarcoma	drug-used-for-treatment_DduftC
Q7455005	Sermorelin	Q179399	infertility	drug-used-for-treatment_DduftC
